geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE,unit
Albania,2015,10028.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Albania,2016,10420.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Albania,2017,10762.2,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Albania,2018,11157.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Albania,2019,11387.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Albania,2020,11010.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Albania,2021,11997.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Albania,2022,12576.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Albania,2023,13081.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Albania,2024,13611.0,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Austria,2015,310082.8,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Austria,2016,316647.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Austria,2017,323842.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Austria,2018,331887.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Austria,2019,337712.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Austria,2020,316374.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Austria,2021,331950.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Austria,2022,349646.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Austria,2023,346897.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Austria,2024,344611.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bosnia and Herzegovina,2015,14020.2,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bosnia and Herzegovina,2016,14474.8,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bosnia and Herzegovina,2017,14944.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bosnia and Herzegovina,2018,15516.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bosnia and Herzegovina,2019,15964.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bosnia and Herzegovina,2020,15483.0,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bosnia and Herzegovina,2021,16627.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bosnia and Herzegovina,2022,17330.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bosnia and Herzegovina,2023,17675.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bosnia and Herzegovina,2024,18114.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Belgium,2015,384344.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Belgium,2016,388931.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Belgium,2017,394666.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Belgium,2018,402078.0,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Belgium,2019,411900.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Belgium,2020,392158.0,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Belgium,2021,416685.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Belgium,2022,433170.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Belgium,2023,440595.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Belgium,2024,445311.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bulgaria,2015,40884.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bulgaria,2016,42122.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bulgaria,2017,43278.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bulgaria,2018,44287.2,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bulgaria,2019,45967.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bulgaria,2020,44526.8,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bulgaria,2021,48012.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bulgaria,2022,49973.2,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bulgaria,2023,50813.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Bulgaria,2024,52534.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Switzerland,2015,493595.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Switzerland,2016,503806.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Switzerland,2017,510672.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Switzerland,2018,525280.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Switzerland,2019,531278.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Switzerland,2020,519900.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Switzerland,2021,548804.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Switzerland,2022,565510.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Switzerland,2023,569375.0,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Switzerland,2024,576790.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Cyprus,2015,17904.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Cyprus,2016,19081.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Cyprus,2017,20178.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Cyprus,2018,21444.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
