freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Albania,2014,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Albania,2015,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Albania,2016,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Albania,2017,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Albania,2018,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Albania,2019,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Albania,2020,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Albania,2021,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Albania,2022,651.161,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Albania,2023,1384.991,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2014,18.575,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2015,573.584,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2016,405.039,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2017,422.345,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2018,444.978,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2019,387.222,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2020,304.602,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2021,452.424,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2022,414.724,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2023,384.521,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bosnia and Herzegovina,2014,4158.681,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bosnia and Herzegovina,2015,3640.547,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bosnia and Herzegovina,2016,3762.987,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bosnia and Herzegovina,2017,3138.718,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bosnia and Herzegovina,2018,5058.286,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bosnia and Herzegovina,2019,4087.264,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bosnia and Herzegovina,2020,3357.003,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bosnia and Herzegovina,2021,3770.356,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bosnia and Herzegovina,2022,5800.697,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bosnia and Herzegovina,2023,5374.142,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2014,6372.755,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2015,1071.731,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2016,588.376,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2017,798.57,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2018,597.353,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2019,961.265,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2020,1785.409,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2021,816.557,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2022,945.837,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2023,1405.455,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2014,250.283,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2015,171.39,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2016,51.113,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2017,108.228,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2018,202.927,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2019,252.09,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2020,135.83,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2021,41.947,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2022,911.283,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2023,2104.852,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2014,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2015,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2016,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2017,0.0,16/12/24 23:00:00
