freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE
Annual,Renewable energy - overall,Percentage,Albania,2014,31.856,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Albania,2015,34.913,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Albania,2016,36.953,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Albania,2017,35.776,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Albania,2018,36.572,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Albania,2019,38.042,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Albania,2020,45.015,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Albania,2021,41.389,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Albania,2022,44.076,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Albania,2023,46.62,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Austria,2014,33.55,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Austria,2015,33.497,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Austria,2016,33.37,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Austria,2017,33.136,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Austria,2018,33.784,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Austria,2019,33.755,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Austria,2020,36.545,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Austria,2021,34.792,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Austria,2022,34.075,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Austria,2023,40.844,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2014,24.873,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2015,26.607,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2016,25.358,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2017,23.241,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2018,35.972,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2019,37.454,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2020,39.835,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2021,36.562,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2022,39.294,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2023,40.011,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Belgium,2014,8.038,19/09/24 23:00:00
