DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Albania,2014,31.856,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Albania,2015,34.913,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Albania,2016,36.953,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Albania,2017,35.776,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Albania,2018,36.572,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Albania,2019,38.042,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Albania,2020,45.015,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Albania,2021,41.389,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Albania,2022,44.076,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Albania,2023,46.620,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Austria,2014,33.55,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Austria,2015,33.497,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Austria,2016,33.37,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Austria,2017,33.136,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Austria,2018,33.784,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Austria,2019,33.755,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Austria,2020,36.545,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Austria,2021,34.792,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Austria,2022,34.075,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Austria,2023,40.844,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2014,24.873,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2015,26.607,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2016,25.358,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2017,23.241,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2018,35.972,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2019,37.454,,
